enlace,experimento,secuencia,pci,pcm,pcf
16,7,4,67,71,83
16,7,5,69,74,82
16,7,6,67,75,83
16,7,7,69,75,82
16,7,8,68,74,86
16,7,9,68,72,79
16,7,10,68,77,83
16,8,1,65,71,85
16,8,2,69,75,83
16,8,3,67,75,81
16,8,4,67,76,84
16,8,5,67,76,83
16,8,6,63,72,82
16,8,7,67,73,82
16,8,8,67,74,86
16,8,9,67,75,80
16,8,10,65,73,79
16,9,1,64,73,78
16,9,2,67,76,82
16,9,3,65,73,79
16,9,4,68,75,80
16,9,5,65,74,80
16,9,6,71,77,81
16,9,7,68,76,78
16,9,8,68,77,83
16,9,9,66,69,85
16,9,10,67,75,83
16,10,1,68,75,82
16,10,2,67,74,83
16,10,3,68,75,81
16,10,4,67,75,79
16,10,5,66,72,85
16,10,6,67,76,85
16,10,7,68,73,81
16,10,8,65,75,81
16,10,9,67,73,82
16,10,10,68,73,80
32,1,1,57,60,81
32,1,2,60,65,72
32,1,3,57,62,71
32,1,4,56,62,72
32,1,5,55,62,71
32,1,6,56,61,70
32,1,7,54,60,71
32,1,8,55,61,69
32,1,9,55,59,73
32,1,10,55,65,69
32,2,1,54,59,73
32,2,2,55,61,74
32,2,3,55,58,73
32,2,4,59,63,73
32,2,5,57,63,70
32,2,6,53,62,70
32,2,7,56,63,75
32,2,8,58,64,69
32,2,9,56,61,67
32,2,10,57,65,75
32,3,1,57,63,70
32,3,2,57,59,67
32,3,3,55,58,69
32,3,4,54,58,66
32,3,5,57,61,72
32,3,6,59,64,71
32,3,7,55,61,71
32,3,8,56,63,70
32,3,9,56,61,74
32,3,10,55,61,69
32,4,1,55,61,68
32,4,2,57,59,71
32,4,3,55,56,70
32,4,4,59,63,71
32,4,5,50,63,72
32,4,6,57,65,75
32,4,7,54,64,70
32,4,8,58,67,77
32,4,9,54,58,67
32,4,10,52,62,75
32,5,1,55,60,72
32,5,2,59,64,71
32,5,3,59,62,72
32,5,4,55,61,66
32,5,5,55,63,73
32,5,6,52,63,70
32,5,7,59,61,77
32,5,8,56,62,73
32,5,9,53,59,71
32,5,10,57,63,75
32,6,1,59,62,72
32,6,2,54,58,67
32,6,3,59,62,69
32,6,4,56,62,73
32,6,5,51,57,68
32,6,6,57,63,75
32,6,7,55,60,70
32,6,8,56,60,73
32,6,9,57,62,67
32,6,10,57,64,70
32,7,1,54,64,75
32,7,2,59,60,74
32,7,3,59,64,72
32,7,4,57,64,72
32,7,5,59,61,71
32,7,6,61,67,73
32,7,7,57,60,72
32,7,8,56,62,73
32,7,9,55,63,75
32,7,10,57,64,70
32,8,1,58,59,71
32,8,2,54,61,66
32,8,3,51,61,72
32,8,4,57,61,73
32,8,5,54,64,75
32,8,6,50,56,75
32,8,7,59,64,69
32,8,8,58,60,71
32,8,9,57,63,72
32,8,10,55,63,73
32,9,1,55,61,71
32,9,2,55,60,77
32,9,3,56,63,75
32,9,4,53,58,72
32,9,5,55,63,76
32,9,6,55,58,74
32,9,7,57,62,79
32,9,8,55,58,80
32,9,9,56,61,74
32,9,10,57,64,77
32,10,1,56,59,71
32,10,2,57,64,71
32,10,3,53,63,77
32,10,4,58,64,68
32,10,5,58,59,71
32,10,6,55,61,68
32,10,7,55,62,71
32,10,8,58,60,71
32,10,9,54,56,72
32,10,10,57,65,74
