enlace,experimento,secuencia,pci,pcm,pcf,enlace,pci_prom,pcm_prom,pcf_prom
16,8,8,59,73,86,,,,
16,8,9,64,72,79,,,,
16,8,10,63,66,75,,,,
16,9,1,64,71,82,,,,
16,9,2,67,69,79,,,,
16,9,3,64,75,81,,,,
16,9,4,61,64,81,,,,
16,9,5,63,67,81,,,,
16,9,6,63,70,85,,,,
16,9,7,65,68,78,,,,
16,9,8,65,70,83,,,,
16,9,9,65,71,81,,,,
16,9,10,67,72,82,,,,
16,10,1,62,72,77,,,,
16,10,2,65,70,85,,,,
16,10,3,65,72,78,,,,
16,10,4,65,74,80,,,,
16,10,5,66,72,80,,,,
16,10,6,63,65,75,,,,
16,10,7,65,74,84,,,,
16,10,8,64,71,84,,,,
16,10,9,65,69,79,,,,
16,10,10,65,71,83,,,,
32,1,1,58,58,75,,,,
32,1,2,57,60,71,,,,
32,1,3,57,62,74,,,,
32,1,4,56,59,70,,,,
32,1,5,57,63,71,,,,
32,1,6,54,62,74,,,,
32,1,7,57,59,69,,,,
32,1,8,54,60,75,,,,
32,1,9,54,62,73,,,,
32,1,10,53,60,69,,,,
32,2,1,57,63,70,,,,
32,2,2,54,62,72,,,,
32,2,3,58,66,73,,,,
32,2,4,56,63,71,,,,
32,2,5,52,62,72,,,,
32,2,6,52,60,74,,,,
32,2,7,56,59,71,,,,
32,2,8,55,57,72,,,,
32,2,9,58,61,74,,,,
32,2,10,50,61,74,,,,
32,3,1,55,61,70,,,,
32,3,2,56,59,70,,,,
32,3,3,58,62,72,,,,
32,3,4,57,64,74,,,,
32,3,5,54,58,72,,,,
32,3,6,55,61,72,,,,
32,3,7,58,64,72,,,,
32,3,8,58,59,73,,,,
32,3,9,58,62,69,,,,
32,3,10,56,64,72,,,,
32,4,1,58,63,73,,,,
32,4,2,57,59,75,,,,
32,4,3,57,62,73,,,,
32,4,4,58,63,73,,,,
32,4,5,58,63,71,,,,
32,4,6,57,59,75,,,,
32,4,7,56,63,69,,,,
32,4,8,56,57,64,,,,
32,4,9,52,60,76,,,,
32,4,10,58,64,70,,,,
32,5,1,59,64,69,,,,
32,5,2,57,62,73,,,,
32,5,3,56,63,70,,,,
32,5,4,58,61,71,,,,
32,5,5,56,63,72,,,,
32,5,6,56,61,69,,,,
32,5,7,52,61,72,,,,
32,5,8,58,61,69,,,,
32,5,9,55,62,71,,,,
32,5,10,58,64,74,,,,
32,6,1,54,58,71,,,,
32,6,2,59,60,70,,,,
32,6,3,57,58,68,,,,
32,6,4,57,59,71,,,,
32,6,5,53,64,69,,,,
32,6,6,57,65,71,,,,
32,6,7,55,63,73,,,,
32,6,8,56,58,71,,,,
32,6,9,49,57,71,,,,
32,6,10,55,60,70,,,,
32,7,1,57,64,76,,,,
32,7,2,56,61,73,,,,
32,7,3,60,61,71,,,,
32,7,4,59,63,71,,,,
32,7,5,58,66,74,,,,
32,7,6,58,59,69,,,,
32,7,7,54,64,71,,,,
32,7,8,57,61,77,,,,
32,7,9,57,66,75,,,,
32,7,10,56,61,68,,,,
32,8,1,52,62,75,,,,
32,8,2,56,62,72,,,,
32,8,3,54,61,78,,,,
32,8,4,56,62,70,,,,
32,8,5,56,63,78,,,,
32,8,6,56,58,68,,,,
32,8,7,56,64,72,,,,
32,8,8,57,62,71,,,,
32,8,9,56,64,74,,,,
32,8,10,56,65,77,,,,
32,9,1,58,61,68,,,,
32,9,2,55,59,73,,,,
32,9,3,58,60,71,,,,
32,9,4,57,57,68,,,,
32,9,5,57,65,71,,,,
32,9,6,57,60,74,,,,
32,9,7,53,58,70,,,,
32,9,8,53,60,66,,,,
32,9,9,56,66,77,,,,
32,9,10,58,59,71,,,,
32,10,1,55,58,83,,,,
32,10,2,57,63,71,,,,
32,10,3,55,64,73,,,,
32,10,4,57,64,73,,,,
32,10,5,53,64,71,,,,
32,10,6,55,62,72,,,,
32,10,7,57,63,73,,,,
32,10,8,55,58,74,,,,
32,10,9,53,63,69,,,,
32,10,10,58,61,73,,,,
