num_nodes,removed,mean_r1_s,std_r1_s,mean_r2_s,std_r2_s,mean_r1_avg_s,std_r1_avg_s,mean_r2_avg_s,std_r2_avg_s
1925,0.23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1900,0.24,1.0,0.0,0.9999473684210527,0.000166435666324658,0.0,0.0,0.1,0.31622776601683794
1875,0.25,1.0,0.0,0.9999466666666667,0.00016865480854232252,0.0,0.0,0.1,0.31622776601683794
1850,0.26,0.9999459459459459,0.00017093392757666794,0.9999459459459459,0.00017093392757666284,0.1,0.31622776601683794,0.1,0.31622776601683794
1825,0.27,0.9999452054794521,0.00017327548822838965,0.9999452054794521,0.0001732754882283948,0.1,0.31622776601683794,0.1,0.31622776601683794
1800,0.28,0.9999444444444444,0.00017568209223156383,0.9998888888888888,0.00023424278964210595,0.1,0.31622776601683794,0.2,0.4216370213557839
1775,0.29,0.9999436619718309,0.00017815648789680223,0.999887323943662,0.00023754198386240086,0.1,0.31622776601683794,0.2,0.4216370213557839
1750,0.3,0.9994857142857143,0.0005682451005781291,0.9996571428571428,0.00039954622787435065,0.8,0.9189365834726815,0.5,0.5270462766947299
1725,0.31,0.9993623188405797,0.0006379738751388869,0.9994202898550725,0.00047333135126242796,0.85,0.8181958472422385,0.7,0.48304589153964794
1700,0.32,0.9991176470588234,0.0007466444221434973,0.9988823529411764,0.0007568729045340536,0.9833333333333332,0.610858533662376,1.15,0.4743416490252569
1675,0.33,0.9986268656716417,0.001054914091995915,0.9983880597014926,0.0008921994734909402,1.1833333333333331,0.52967495273569,1.225,0.4779876799899995
1650,0.34,0.9981212121212121,0.0015238805790420808,0.9980606060606061,0.0012387644215560512,1.1233333333333333,0.45570458267025,1.3083333333333333,0.5906289804882526
1625,0.35,0.9974769230769231,0.001845013893068185,0.9979692307692307,0.001392758580247657,1.2233333333333332,0.5673851654087599,1.275,0.5329425651773161
1600,0.36,0.9971249999999999,0.002024159633581884,0.9975625000000001,0.0011949691999749942,1.3166666666666667,0.38936478817633846,1.3199999999999998,0.528730134903956
1575,0.37,0.9946666666666667,0.0023981740485444106,0.9946031746031746,0.004451996606976247,1.65,0.6900244827888882,1.7688095238095236,0.8276590260130628
