num_nodes,removed,mean_r1_s,std_r1_s,mean_r2_s,std_r2_s,mean_r1_avg_s,std_r1_avg_s,mean_r2_avg_s,std_r2_avg_s
2075,0.17,0.9999614457831325,0.00014818431128406525,0.9999518072289156,0.0001746368856239623,0.08,0.307482445914323,0.09,0.32082595426382343
2050,0.18,0.9999512195121951,0.00016260162601625363,0.9999512195121951,0.00017676660374133307,0.1,0.33333333333333326,0.09,0.32082595426382343
2025,0.19,0.9999358024691358,0.00018106995884772863,0.9999358024691358,0.00020649327348549898,0.13,0.36666666666666664,0.11,0.3450955072018601
2000,0.2,0.99991,0.00023973891522806434,0.99993,0.00021343747458108629,0.18,0.4794778304562056,0.12,0.3561863092100633
1975,0.21,0.9998835443037974,0.0002580277058575032,0.9999088607594936,0.0002427735850411223,0.23,0.5096047190685833,0.15,0.38599209705627263
1950,0.22,0.9998666666666667,0.0002689994196002942,0.9998820512820512,0.0002613357533685412,0.26,0.5245488682206028,0.2,0.4264014327112209
1925,0.23,0.9998025974025974,0.0003283823529064387,0.9998493506493508,0.000279163571928984,0.38,0.6321360293449184,0.26,0.4631905164675272
1900,0.24,0.9997631578947369,0.00033767010143128377,0.9997947368421053,0.0003251750739686746,0.43,0.6072790781740127,0.33,0.4934930126509934
1875,0.25,0.9997173333333333,0.00035112389696704817,0.99976,0.0003504686616921541,0.5,0.611340636419152,0.38,0.5081159495448043
1850,0.26,0.9996162162162162,0.0004691924098265197,0.9996864864864865,0.00045569429307196966,0.555,0.6109067610585684,0.435,0.5442769274343473
1825,0.27,0.9994849315068494,0.0005818746643647517,0.9996219178082193,0.000496826849750247,0.6453333333333333,0.5952019152063608,0.48,0.5361667161198532
1800,0.28,0.9993666666666666,0.0006367198333277204,0.9995499999999999,0.0005566487560712249,0.7253333333333333,0.5328305711090698,0.5283333333333333,0.5469305226744953
1775,0.29,0.9992450704225352,0.0007348634742461565,0.9994535211267607,0.000601658766525213,0.7336666666666666,0.49664406881454287,0.5983333333333334,0.5386805803783609
1750,0.3,0.9990342857142858,0.0008545222083093671,0.999257142857143,0.000737711113563305,0.8814285714285713,0.5277436545728773,0.7595000000000001,0.6119060715535027
1725,0.31,0.9988869565217391,0.0009200399758970153,0.9991420289855073,0.0007662423322715685,0.8997619047619048,0.48259930946628127,0.8061666666666666,0.5252953581020364
1700,0.32,0.9986529411764705,0.0010452520345520292,0.9988764705882354,0.0011557745871788897,0.9670000000000001,0.4966271197506529,0.927,0.8272090785939146
1675,0.33,0.9984298507462687,0.0011214324033129955,0.9986865671641791,0.0012784846490496353,1.047595238095238,0.5440138448188933,0.9953333333333333,0.8787875536978386
1650,0.34,0.9980969696969697,0.0013890466560365078,0.9983636363636363,0.0015105531691444038,1.1133333333333333,0.5562117336993404,1.0753333333333333,0.8474411209182147
1625,0.35,0.9976,0.0015780455383153458,0.9979446153846153,0.00199113689712378,1.1753888888888888,0.5038758958748635,1.141952380952381,0.7977364375576894
1600,0.36,0.99723125,0.0017661033085481484,0.99763125,0.0021855510798714597,1.1871666666666667,0.41566448499396413,1.1914404761904762,0.7840325132339058
1575,0.37,0.9966539682539682,0.002321658131604135,0.9970920634920636,0.0023553084302158924,1.2519047619047619,0.46388513941532433,1.2105595238095237,0.7206900373483166
1550,0.38,0.9961032258064516,0.0027539097973514636,0.9964774193548387,0.002792569118068794,1.2738690476190475,0.485354297194741,1.3064779942279943,0.9327025831442223
1525,0.39,0.9951081967213115,0.003132241893151244,0.9958426229508197,0.0029210025987343284,1.3899166666666667,0.7384105990624182,1.336815295815296,0.8725461181820557
1500,0.4,0.99414,0.0035521385095490495,0.9950866666666667,0.003166399067197594,1.4305077561327562,0.7527170962735092,1.3586565656565657,0.8468347365926381
1475,0.41,0.9933355932203389,0.0038473086695950385,0.9940542372881356,0.0037131919741613113,1.4207498539042658,0.7401903074203867,1.383422632922633,0.8398421184704569
1450,0.42,0.9920344827586207,0.004413635272343536,0.9927862068965517,0.004520161193656385,1.444107214423004,0.580423289209429,1.4099042346542348,0.6300923764753211
1425,0.43,0.9908140350877193,0.004291379182022324,0.9915368421052633,0.005088673702240888,1.4206777528027528,0.45517401178464845,1.438639967875262,0.5984048060883029
1400,0.44,0.98925,0.0047275546789678,0.9890214285714286,0.007141886658457927,1.4504190254190255,0.456620271991378,1.6599168807628562,1.0350340253335042
1375,0.45,0.9870981818181818,0.005147392289588976,0.9867272727272727,0.007989892604934318,1.5387234366510683,0.4633665163993937,1.7569368082897494,1.0306907755334818
1350,0.46,0.9840814814814814,0.007008720866456081,0.9834962962962963,0.010554235581450758,1.6577486481526729,0.5234244113758639,1.8280248856171424,0.9570344541665203
1325,0.47,0.9811849056603773,0.00895390279317855,0.9800830188679245,0.011750876048621756,1.727919330927071,0.5748813747012841,1.9179702104498006,1.0023236596214091
1300,0.48,0.9777923076923076,0.010408347224659473,0.9762692307692308,0.014334550907165509,1.7650899969910636,0.5729773722548671,1.9582201144049711,1.0532134187810274
1275,0.49,0.9718117647058824,0.017025727405630842,0.9719372549019607,0.015333963968656083,1.9575593747982125,1.0442538423374281,2.016568084032983,1.0099820464161657
1250,0.5,0.964512,0.02089009856802542,0.965064,0.0201617876391971,2.19800534774667,1.2514907176335375,2.1721304877105005,1.0473045371833152
1225,0.51,0.9573551020408163,0.023349273985734526,0.9576653061224489,0.023989957189041424,2.2798170391436883,1.13986330899716,2.2986803078297418,1.131247458562205
1200,0.52,0.9478333333333333,0.025985621509837416,0.9471916666666667,0.02654926148942976,2.4296574455166184,1.0796714408632198,2.507638534464009,1.1679288115176183
1175,0.53,0.9356936170212766,0.03325355172426784,0.9357872340425532,0.0321483260530018,2.61042593443411,1.3728109808488467,2.645118189638625,1.1456075366575396
1150,0.54,0.920904347826087,0.03924161631401779,0.9193217391304348,0.04934329657918651,2.7778681624864334,1.3354509071604475,2.8908877420228327,1.4139280762410376
1125,0.55,0.8978311111111111,0.06666371201832637,0.8915733333333332,0.06199065197902531,3.1522195223961256,2.0904599040271186,3.3840439988329365,1.6455170883720323
1100,0.56,0.8674545454545455,0.08049952569548736,0.8633727272727273,0.09828653863288583,3.6089789739464067,2.1869510090370445,3.7506613944315688,2.2611753112516793
1075,0.57,0.825953488372093,0.10495125714627519,0.8154139534883721,0.11906376651251165,4.162117022749521,2.604259481069157,4.492813306651817,2.6950993690351384
1050,0.58,0.7480857142857142,0.14893915438963753,0.7500857142857142,0.1579236129232252,5.32187040726056,3.3152383335942743,5.305650759850048,3.104199497241635
1025,0.59,0.6766536585365854,0.18205026105490632,0.6836390243902438,0.17585331745076074,5.953917190659434,3.46476005261884,5.960998210763189,3.1757613618701406
1000,0.6,0.59561,0.19001620850587844,0.59488,0.1749620033786269,6.517427516134588,3.068343702219958,6.739457226230708,2.8171794164189565
975,0.61,0.5141128205128205,0.18782145881436657,0.5232307692307693,0.16414395845441662,6.91680926580333,2.6244605904779723,6.980814007044526,2.345516314146863
950,0.62,0.4361473684210527,0.16264863466926197,0.45792631578947374,0.15965977530754244,7.088784979671857,1.9695423751589203,6.967592612995551,2.0362876925249953
925,0.63,0.37565405405405405,0.14275112969778253,0.37836756756756756,0.14568249505275083,6.96519496551245,1.531998879759148,7.0520243810840375,1.6159604239020788
900,0.64,0.3174666666666667,0.12780886558826024,0.3118222222222222,0.1171470011472349,6.7604811302804615,1.21655817214574,6.901416192408049,1.108293579526107
875,0.65,0.2672685714285714,0.10763518493730256,0.2724114285714286,0.10580412172883115,6.46978942189712,0.9243341996552248,6.514525816197261,0.9390880159344787
850,0.66,0.22595294117647058,0.08682804439596878,0.23264705882352943,0.09315691696014383,6.164992602471018,0.7103473423494826,6.139912021702739,0.7905541730366737
825,0.67,0.19203636363636364,0.07001837074771541,0.19918787878787877,0.07641464521879464,5.78813924166957,0.5757422089905019,5.7814353605723126,0.6422079973737458
800,0.68,0.16865,0.06530563342909827,0.17373750000000002,0.06437968748257118,5.38331153769388,0.5069319925348535,5.415258494458307,0.5287615206587082
775,0.69,0.14681290322580645,0.05464492008427044,0.1484,0.05042006915703746,4.994680971632095,0.4218720870708069,5.045455873786945,0.433676168270843
750,0.7,0.12933333333333333,0.047493776543095376,0.12909333333333334,0.04456524190032092,4.651793276343953,0.37918721370354636,4.709259389753143,0.3923341238869384
725,0.71,0.11267586206896552,0.042579909904377426,0.11332413793103449,0.03983980219800978,4.359818166633184,0.32569541698751886,4.378347581235449,0.33934149466538766
700,0.72,0.09731428571428571,0.03369762593738182,0.09861428571428572,0.03400950247362348,4.069726308846777,0.3055200750042972,4.07234209081474,0.2990218457696038
675,0.73,0.08564444444444444,0.02673366899495571,0.08745185185185185,0.029564053884171642,3.7844111243580465,0.27995164806156003,3.8032724109944356,0.2849826179794389
650,0.74,0.07706153846153846,0.024686276122510748,0.07833846153846154,0.026062439106380838,3.5316897786428263,0.2520527467273358,3.546361690548929,0.246560633943008
625,0.75,0.07064,0.023315629647482957,0.06841599999999999,0.02307454200821522,3.2964323619046643,0.21849963438616762,3.309882820515396,0.23292178026180088
600,0.76,0.06428333333333333,0.020352194983060363,0.061516666666666664,0.02261532981268405,3.085562356788263,0.19905928738861972,3.0837202138086632,0.20134478874879824
575,0.77,0.058104347826086956,0.01777030164927191,0.054747826086956525,0.019871431860955992,2.884997928876565,0.18490445861706706,2.8930772281537758,0.16995697521763578
550,0.78,0.053200000000000004,0.01712370103072732,0.050490909090909086,0.019684217105047665,2.709862439017109,0.15929156386785392,2.7071191725680404,0.159709300384723
525,0.79,0.050114285714285715,0.01660024143675302,0.04683809523809524,0.016164923388679912,2.5517439846774,0.14266390826874598,2.5463398003924946,0.14985498250803625
500,0.8,0.0466,0.015615325287626379,0.04332,0.014051046907327551,2.4109572988086816,0.12986065998325752,2.401503261525226,0.13831763009242937
